id	deme_0	deme_1	migration_modifier
292	48	74	1
293	48	75	1
294	49	28	1
295	49	48	1
296	49	50	1
297	49	75	1
298	49	76	1
299	49	77	1
300	50	28	1
301	50	29	1
302	50	49	1
303	50	51	1
304	50	77	1
305	50	78	1
306	51	29	1
307	51	30	1
308	51	50	1
309	51	52	1
310	51	78	1
311	51	79	1
312	52	30	1
313	52	31	1
314	52	51	1
315	52	53	1
316	52	79	1
317	52	80	1
318	53	31	1
319	53	52	1
320	53	54	1
321	53	80	1
322	53	81	1
323	53	82	1
324	54	31	1
325	54	32	1
326	54	53	1
327	54	55	1
328	54	82	1
329	54	83	1
330	55	32	1
331	55	33	1
332	55	54	1
333	55	56	1
334	55	83	1
335	55	84	1
336	56	33	1
337	56	34	1
338	56	55	1
339	56	57	1
340	56	84	1
341	56	85	1
342	57	34	1
343	57	56	1
344	57	58	1
345	57	85	1
346	57	86	1
347	57	87	1
348	58	34	1
349	58	35	1
350	58	57	1
351	58	59	1
352	58	87	1
353	58	88	1
354	59	35	1
355	59	36	1
356	59	58	1
357	59	60	1
358	59	88	1
359	59	89	1
360	60	19	1
361	60	36	1
362	60	37	1
363	60	59	1
364	60	89	1
365	60	90	1
366	61	37	1
367	61	62	1
368	61	90	1
369	61	91	1
370	61	92	1
371	61	126	1
372	62	37	1
373	62	38	1
374	62	61	1
375	62	63	1
376	62	92	1
377	62	93	1
378	63	38	1
379	63	39	1
380	63	62	1
381	63	64	1
382	63	93	1
383	63	94	1
384	64	39	1
385	64	40	1
386	64	63	1
387	64	65	1
388	64	94	1
389	64	95	1
390	65	40	1
391	65	41	1
392	65	64	1
393	65	66	1
394	65	95	1
395	65	96	1
396	66	41	1
397	66	65	1
398	66	67	1
399	66	96	1
400	66	97	1
401	66	98	1
402	67	41	1
403	67	42	1
404	67	66	1
405	67	68	1
406	67	98	1
407	67	99	1
408	68	42	1
409	68	43	1
410	68	67	1
411	68	69	1
412	68	99	1
413	68	100	1
414	69	43	1
415	69	44	1
416	69	68	1
417	69	70	1
418	69	100	1
419	69	101	1
420	70	44	1
421	70	45	1
422	70	69	1
423	70	71	1
424	70	101	1
425	70	102	1
426	71	45	1
427	71	70	1
428	71	72	1
429	71	102	1
430	71	103	1
431	71	104	1
432	72	45	1
433	72	46	1
434	72	71	1
435	72	73	1
436	72	104	1
437	72	105	1
438	73	46	1
439	73	47	1
440	73	72	1
441	73	74	1
442	73	105	1
443	73	106	1
444	74	47	1
445	74	48	1
446	74	73	1
447	74	75	1
448	74	106	1
449	74	107	1
450	75	48	1
451	75	49	1
452	75	74	1
453	75	76	1
454	75	107	1
455	75	108	1
456	76	49	1
457	76	75	1
458	76	77	1
459	76	108	1
460	76	109	1
461	76	110	1
462	77	49	1
463	77	50	1
464	77	76	1
465	77	78	1
466	77	110	1
467	77	111	1
468	78	50	1
469	78	51	1
470	78	77	1
471	78	79	1
472	78	111	1
473	78	112	1
474	79	51	1
475	79	52	1
476	79	78	1
477	79	80	1
478	79	112	1
479	79	113	1
480	80	52	1
481	80	53	1
482	80	79	1
483	80	81	1
484	80	113	1
485	80	114	1
486	81	53	1
487	81	80	1
488	81	82	1
489	81	114	1
490	81	115	1
491	81	116	1
492	82	53	1
493	82	54	1
494	82	81	1
495	82	83	1
496	82	116	1
497	82	117	1
498	83	54	1
499	83	55	1
500	83	82	1
501	83	84	1
502	83	117	1
503	83	118	1
504	84	55	1
505	84	56	1
506	84	83	1
507	84	85	1
508	84	118	1
509	84	119	1
510	85	56	1
511	85	57	1
512	85	84	1
513	85	86	1
514	85	119	1
515	85	120	1
516	86	57	1
517	86	85	1
518	86	87	1
519	86	120	1
520	86	121	1
521	86	122	1
522	87	57	1
523	87	58	1
524	87	86	1
525	87	88	1
526	87	122	1
527	87	123	1
528	88	58	1
529	88	59	1
530	88	87	1
531	88	89	1
532	88	123	1
533	88	124	1
534	89	59	1
535	89	60	1
536	89	88	1
537	89	90	1
538	89	124	1
539	89	125	1
540	90	37	1
541	90	60	1
542	90	61	1
543	90	89	1
544	90	125	1
545	90	126	1
546	91	61	1
547	91	92	1
548	91	126	1
549	92	61	1
550	92	62	1
551	92	91	1
552	92	93	1
553	93	62	1
554	93	63	1
555	93	92	1
556	93	94	1
557	94	63	1
558	94	64	1
559	94	93	1
560	94	95	1
561	95	64	1
562	95	65	1
563	95	94	1
564	95	96	1
565	96	65	1
566	96	66	1
567	96	95	1
568	96	97	1
569	97	66	1
570	97	96	1
571	97	98	1
572	98	66	1
573	98	67	1
574	98	97	1
575	98	99	1
576	99	67	1
577	99	68	1
578	99	98	1
579	99	100	1
580	100	68	1
581	100	69	1
582	100	99	1
583	100	101	1
584	101	69	1
585	101	70	1
586	101	100	1
587	101	102	1
588	102	70	1
589	102	71	1
590	102	101	1
591	102	103	1
592	103	71	1
593	103	102	1
594	103	104	1
595	104	71	1
596	104	72	1
597	104	103	1
598	104	105	1
599	105	72	1
600	105	73	1
601	105	104	1
602	105	106	1
603	106	73	1
604	106	74	1
605	106	105	1
606	106	107	1
607	107	74	1
608	107	75	1
609	107	106	1
610	107	108	1
611	108	75	1
612	108	76	1
613	108	107	1
614	108	109	1
615	109	76	1
616	109	108	1
617	109	110	1
618	110	76	1
619	110	77	1
620	110	109	1
621	110	111	1
622	111	77	1
623	111	78	1
624	111	110	1
625	111	112	1
626	112	78	1
627	112	79	1
628	112	111	1
629	112	113	1
630	113	79	1
631	113	80	1
632	113	112	1
633	113	114	1
634	114	80	1
635	114	81	1
636	114	113	1
637	114	115	1
638	115	81	1
639	115	114	1
640	115	116	1
641	116	81	1
642	116	82	1
643	116	115	1
644	116	117	1
645	117	82	1
646	117	83	1
647	117	116	1
648	117	118	1
649	118	83	1
650	118	84	1
651	118	117	1
652	118	119	1
653	119	84	1
654	119	85	1
655	119	118	1
656	119	120	1
657	120	85	1
658	120	86	1
659	120	119	1
660	120	121	1
661	121	86	1
662	121	120	1
663	121	122	1
664	122	86	1
665	122	87	1
666	122	121	1
667	122	123	1
668	123	87	1
669	123	88	1
670	123	122	1
671	123	124	1
672	124	88	1
673	124	89	1
674	124	123	1
675	124	125	1
676	125	89	1
677	125	90	1
678	125	124	1
679	125	126	1
680	126	61	1
681	126	90	1
682	126	91	1
683	126	125	1
